sentence,sentence_CLAUSE,sentence_RC_attached,subj_NUM,subj_GEN,subj_ZIPF,obj_NUM,obj_GEN,obj_ZIPF,embed_NUM,embed_GEN,embed_ZIPF,verb_ZIPF
the woman sees the girl who likes the queen.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,sg,f,4.86,4.59
the woman sees the girl who likes the man.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.82,4.59
the woman sees the girl who likes the boy.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,4.59
the woman sees the girl who likes the king.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,4.59
the woman sees the girl who likes the ladies.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,pl,f,4.86,4.59
the woman sees the girl who likes the men.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.82,4.59
the woman sees the girl who likes the boys.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,4.59
the woman sees the girl who likes the kings.,subjwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,4.59
the woman sees the girl who the queen likes.,objwho,peripheral,sg,f,5.35,sg,f,5.38,sg,f,4.86,4.59
the woman sees the girl who the man likes.,objwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.82,4.59
the woman sees the girl who the boy likes.,objwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,4.59
the woman sees the girl who the king likes.,objwho,peripheral,sg,f,5.35,sg,f,5.38,sg,m,5.17,4.59
the woman sees the girl who the ladies like.,objwho,peripheral,sg,f,5.35,sg,f,5.38,pl,f,4.86,4.59
the woman sees the girl who the men like.,objwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.82,4.59
the woman sees the girl who the boys like.,objwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,4.59
the woman sees the girl who the kings like.,objwho,peripheral,sg,f,5.35,sg,f,5.38,pl,m,5.17,4.59
the woman sees the queen who likes the girl.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,sg,f,5.38,4.59
the woman sees the queen who likes the man.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.82,4.59
the woman sees the queen who likes the boy.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.17,4.59
the woman sees the queen who likes the king.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.17,4.59
the woman sees the queen who likes the girls.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,pl,f,5.38,4.59
the woman sees the queen who likes the men.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.82,4.59
the woman sees the queen who likes the boys.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.17,4.59
the woman sees the queen who likes the kings.,subjwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.17,4.59
the woman sees the queen who the girl likes.,objwho,peripheral,sg,f,5.35,sg,f,4.86,sg,f,5.38,4.59
the woman sees the queen who the man likes.,objwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.82,4.59
the woman sees the queen who the boy likes.,objwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.17,4.59
the woman sees the queen who the king likes.,objwho,peripheral,sg,f,5.35,sg,f,4.86,sg,m,5.17,4.59
the woman sees the queen who the girls like.,objwho,peripheral,sg,f,5.35,sg,f,4.86,pl,f,5.38,4.59
the woman sees the queen who the men like.,objwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.82,4.59
the woman sees the queen who the boys like.,objwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.17,4.59
the woman sees the queen who the kings like.,objwho,peripheral,sg,f,5.35,sg,f,4.86,pl,m,5.17,4.59
the woman sees the man who likes the girl.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,sg,f,5.38,4.59
the woman sees the man who likes the queen.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,sg,f,4.86,4.59
the woman sees the man who likes the boy.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,sg,m,5.17,4.59
the woman sees the man who likes the king.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,sg,m,5.17,4.59
the woman sees the man who likes the girls.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,pl,f,5.38,4.59
the woman sees the man who likes the ladies.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,pl,f,4.86,4.59
the woman sees the man who likes the boys.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,pl,m,5.17,4.59
the woman sees the man who likes the kings.,subjwho,peripheral,sg,f,5.35,sg,m,5.82,pl,m,5.17,4.59
the woman sees the man who the girl likes.,objwho,peripheral,sg,f,5.35,sg,m,5.82,sg,f,5.38,4.59
the woman sees the man who the queen likes.,objwho,peripheral,sg,f,5.35,sg,m,5.82,sg,f,4.86,4.59
the woman sees the man who the boy likes.,objwho,peripheral,sg,f,5.35,sg,m,5.82,sg,m,5.17,4.59
the woman sees the man who the king likes.,objwho,peripheral,sg,f,5.35,sg,m,5.82,sg,m,5.17,4.59
the woman sees the man who the girls like.,objwho,peripheral,sg,f,5.35,sg,m,5.82,pl,f,5.38,4.59
the woman sees the man who the ladies like.,objwho,peripheral,sg,f,5.35,sg,m,5.82,pl,f,4.86,4.59
the woman sees the man who the boys like.,objwho,peripheral,sg,f,5.35,sg,m,5.82,pl,m,5.17,4.59
the woman sees the man who the kings like.,objwho,peripheral,sg,f,5.35,sg,m,5.82,pl,m,5.17,4.59
the woman sees the boy who likes the girl.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,5.38,4.59
the woman sees the boy who likes the queen.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,4.86,4.59
the woman sees the boy who likes the man.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.82,4.59
the woman sees the boy who likes the king.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.17,4.59
the woman sees the boy who likes the girls.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,5.38,4.59
the woman sees the boy who likes the ladies.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,4.86,4.59
the woman sees the boy who likes the men.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.82,4.59
the woman sees the boy who likes the kings.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.17,4.59
the woman sees the boy who the girl likes.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,5.38,4.59
the woman sees the boy who the queen likes.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,4.86,4.59
the woman sees the boy who the man likes.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.82,4.59
the woman sees the boy who the king likes.,objwho,peripheral,sg,f,5.35,sg,m,5.17,sg,m,5.17,4.59
the woman sees the boy who the girls like.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,5.38,4.59
the woman sees the boy who the ladies like.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,f,4.86,4.59
the woman sees the boy who the men like.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.82,4.59
the woman sees the boy who the kings like.,objwho,peripheral,sg,f,5.35,sg,m,5.17,pl,m,5.17,4.59
the woman sees the king who likes the girl.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,5.38,4.59
the woman sees the king who likes the queen.,subjwho,peripheral,sg,f,5.35,sg,m,5.17,sg,f,4.86,4.59
